gene	p_condition	p_time	p_time_condition	padj_condition	padj_time	padj_time_condition	classification	trajectory_cluster
EEF1D	0.287798520300047	0.00230284841631878	0.308182311412742	0.888402866490071	0.0379013420888897	0.562655177930481	Shared dynamics	1
EEF1E1	0.385776711713257	0.000767135577044331	0.84007847083107	0.888402866490071	0.017468858981853	0.924557325338284	Shared dynamics	1
EFNA2	0.465291107731502	8.52160071912467e-05	0.133562939827707	0.900055279838559	0.00356109705051546	0.450007787412922	Shared dynamics	2
EFNB1	0.109479278770093	0.00252472484033728	0.82786862577338	0.888402866490071	0.0403126960327287	0.91916836238439	Shared dynamics	1
EGFL7	0.0460679174891176	0.000447354723968507	0.011025017408486	0.888402866490071	0.0118754363201367	0.219341142248758	Shared dynamics	4
EGFLAM-AS4	0.597691468963286	0.00120684487339318	0.632653155528189	0.928880820030049	0.0242002370301035	0.831749597388628	Shared dynamics	2
EGLN2	0.221535219075711	1.75222262427388e-05	0.175165087388201	0.888402866490071	0.00105317919628628	0.488062794216623	Shared dynamics	6
EHD2	0.192291609351611	7.17686996237754e-06	0.837419405411042	0.888402866490071	0.000546463735640676	0.923319707071691	Shared dynamics	1
EID1	0.0909802808613975	6.71224696158212e-07	0.338629032256349	0.888402866490071	8.54852595178638e-05	0.576442578897036	Shared dynamics	1
EIF1	0.0426940546638694	0.000941945395933341	0.808723787449423	0.888402866490071	0.0205024045690639	0.910085423461203	Shared dynamics	1
EIF2AK4	0.989364078325777	0.000294644056994364	0.507726640470674	0.999125503052068	0.00879247453758915	0.756393204255015	Shared dynamics	6
EIF2B2	0.200640962708286	0.00119214654807481	0.910056719039671	0.888402866490071	0.0240180485335298	0.956270187632492	Shared dynamics	1
EIF3F	0.417815465375109	0.00282788205926032	0.774815416134717	0.888402866490071	0.0436546641702265	0.898146696122825	Shared dynamics	1
EIF4EBP2	0.0920204749974302	1.47363301017389e-06	0.178984373468873	0.888402866490071	0.000151585826373464	0.491787550371132	Shared dynamics	6
EIF4G2	0.136338232620106	0.00160215351207599	0.042986880663531	0.888402866490071	0.0295769426612406	0.356077157830781	Shared dynamics	1
EIF6	0.292736414389793	1.74297953403624e-07	0.131573909701579	0.888402866490071	2.60788742029646e-05	0.448023482772081	Shared dynamics	1
ELF2	0.388770815868955	0.000721261559298969	0.309938633216206	0.888402866490071	0.0167558222831278	0.562655177930481	Shared dynamics	1
ELF4	0.120288107820841	0.00238086695919559	0.153878710902507	0.888402866490071	0.0385916889840522	0.470038551783874	Shared dynamics	1
ELOVL1	0.267768401143195	0.000111433400358574	0.229471465267512	0.888402866490071	0.00429590816949918	0.528613496492195	Shared dynamics	1
EMP1	0.396251503488376	5.39658871406834e-06	0.330488544393035	0.888402866490071	0.000434080496715061	0.568373353897065	Shared dynamics	1
EMP2	0.109143145613028	0	0.708120432999589	0.888402866490071	0	0.872700004864882	Shared dynamics	3
EMP3	0.31639565835393	0	0.0903767249101006	0.888402866490071	0	0.402880579849757	Shared dynamics	4
EMX2OS	0.328695755188846	0.00108446110771843	0.246331925231124	0.888402866490071	0.02241848295724	0.539500422133843	Shared dynamics	2
ENC1	0.916940993204206	0.000457929695845682	0.0973528587477335	0.988007799790484	0.0120961281139682	0.412480294928438	Shared dynamics	1
EPAS1	6.16411536580779e-05	0.000690853269637803	0.914306222129083	0.101451855666787	0.0163874684669295	0.958284954074705	Shared dynamics	6
EPB49	0.559586253652931	0.00139973820099448	0.383538370141727	0.920017441273442	0.0270483225668279	0.623523058092271	Shared dynamics	1
EPHA2	0.534530489093799	0.0025173783560356	0.518573000834315	0.916583607778066	0.0402254124762792	0.766573713268689	Shared dynamics	1
EPHB4	0.175106258019084	0.000100077811190036	0.359664053394654	0.888402866490071	0.00398440436634532	0.59881504057521	Shared dynamics	1
EPN1	0.50615591136541	0.00138807011319381	0.769195014720074	0.910034694512213	0.0269747031261532	0.896364109241489	Shared dynamics	1
EPN2	0.46555635067437	6.2299333897009e-05	0.923999632676088	0.900055279838559	0.00281808995361608	0.962656917263252	Shared dynamics	1
EPPIN	0.593896088050168	0.00122453368215769	0.211268935705669	0.928499701344081	0.0244176352874613	0.517950695476625	Shared dynamics	3
ERBB2IP	0.426145554877165	0.00202683805138892	0.572093200401095	0.891988825086095	0.0347858887015414	0.810683281639314	Shared dynamics	1
ERG	0.742424508709014	0.000338236892444388	0.0958441315320286	0.954217148119349	0.00972951042927457	0.411246134980542	Shared dynamics	1
ERI3	0.0048765622051158	7.20314928842614e-06	0.334467126382045	0.561747631322777	0.000546519794947396	0.571951617332979	Shared dynamics	1
ESM1	0.230600309753276	1.11873304638466e-05	0.195904761456426	0.888402866490071	0.000755091869414704	0.505534476075031	Shared dynamics	1
ESRG	0.292291329466878	0	0.25549029981719	0.888402866490071	0	0.539500422133843	Shared dynamics	2
ESYT2	0.569592013023615	0.00321201780333535	0.250090098251775	0.922418309919261	0.047692111672563	0.539500422133843	Shared dynamics	1
ETS2	0.144847742718142	0.0029941176066362	0.0150886224397154	0.888402866490071	0.0454657743816216	0.246769208628391	Shared dynamics	6
EVA1A	0.552392331623127	0.00272827045968971	0.741615433783445	0.91846299211051	0.0426530495097827	0.887097546267255	Shared dynamics	1
EXOSC3	0.941368172152707	0.00198035667952123	0.105953569468513	0.991978657307706	0.0341432002538568	0.421523302713455	Shared dynamics	1
EXOSC4	0.707729310320991	0.00066970066419908	0.569086007116203	0.948058448761169	0.0160260973748728	0.808859708612469	Shared dynamics	4
EXPH5	0.3312939498199	4.22522510746814e-05	0.0554332543851955	0.888402866490071	0.00211221767288291	0.389519475277002	Shared dynamics	2
EYA1	0.175626660262151	1.85688746978663e-05	0.0126092659135304	0.888402866490071	0.00109448937475357	0.232375412132555	Shared dynamics	3
F2R	0.536660035570179	9.04977447723221e-05	0.0101651102832145	0.916583607778066	0.00370936733170231	0.212694718774217	Shared dynamics	4
F5	0.397578145849236	0	0.022260882179041	0.888402866490071	0	0.287790836920097	Shared dynamics	2
FAM107B	0.91142344118312	9.73182480212831e-06	0.621516505352321	0.986683664620221	0.000691767852047632	0.829668993902052	Shared dynamics	1
FAM109A	0.102617062058693	1.3452947078274e-05	0.252458196449905	0.888402866490071	0.000874891354670977	0.539500422133843	Shared dynamics	4
FAM110B	0.643327005818139	2.09025850150812e-06	0.250369246230164	0.936992847055537	0.000204428340167516	0.539500422133843	Shared dynamics	2
