Pump01_HUVEC-Gag-EIF4E_NHLF_Day01	Pump02_HUVEC-Gag-EIF4E_NHLF_Day01	Pump03_HUVEC-Gag-EIF4E_NHLF_Day01	Pump04_HUVEC-Gag-EIF4E_ESC_Day01	Pump05_HUVEC-Gag-EIF4E_ESC_Day01	Pump06_HUVEC-Gag-EIF4E_ESC_Day01	Pump01_HUVEC-Gag-EIF4E_NHLF_Day02	Pump02_HUVEC-Gag-EIF4E_NHLF_Day02	Pump03_HUVEC-Gag-EIF4E_NHLF_Day02	Pump04_HUVEC-Gag-EIF4E_ESC_Day02	Pump05_HUVEC-Gag-EIF4E_ESC_Day02	Pump06_HUVEC-Gag-EIF4E_ESC_Day02	Pump01_HUVEC-Gag-EIF4E_NHLF_Day03	Pump02_HUVEC-Gag-EIF4E_NHLF_Day03	Pump03_HUVEC-Gag-EIF4E_NHLF_Day03	Pump04_HUVEC-Gag-EIF4E_ESC_Day03	Pump05_HUVEC-Gag-EIF4E_ESC_Day03	Pump06_HUVEC-Gag-EIF4E_ESC_Day03	Pump01_HUVEC-Gag-EIF4E_NHLF_Day04	Pump02_HUVEC-Gag-EIF4E_NHLF_Day04	Pump03_HUVEC-Gag-EIF4E_NHLF_Day04	Pump04_HUVEC-Gag-EIF4E_ESC_Day04	Pump05_HUVEC-Gag-EIF4E_ESC_Day04	Pump06_HUVEC-Gag-EIF4E_ESC_Day04	Pump01_HUVEC-Gag-EIF4E_NHLF_Day05	Pump02_HUVEC-Gag-EIF4E_NHLF_Day05	Pump03_HUVEC-Gag-EIF4E_NHLF_Day05	Pump04_HUVEC-Gag-EIF4E_ESC_Day05	Pump05_HUVEC-Gag-EIF4E_ESC_Day05	Pump06_HUVEC-Gag-EIF4E_ESC_Day05	Pump01_HUVEC-Gag-EIF4E_NHLF_Day06	Pump02_HUVEC-Gag-EIF4E_NHLF_Day06	Pump03_HUVEC-Gag-EIF4E_NHLF_Day06	Pump04_HUVEC-Gag-EIF4E_ESC_Day06	Pump05_HUVEC-Gag-EIF4E_ESC_Day06	Pump06_HUVEC-Gag-EIF4E_ESC_Day06	Pump01_HUVEC-Gag-EIF4E_NHLF_Day07	Pump02_HUVEC-Gag-EIF4E_NHLF_Day07	Pump03_HUVEC-Gag-EIF4E_NHLF_Day07	Pump04_HUVEC-Gag-EIF4E_ESC_Day07	Pump05_HUVEC-Gag-EIF4E_ESC_Day07	Pump06_HUVEC-Gag-EIF4E_ESC_Day07	Pump07_Control_NHLF_Day01	Pump07_Control_NHLF_Day02	Pump07_Control_NHLF_Day03	Pump07_Control_NHLF_Day04	Pump07_Control_NHLF_Day05	Pump07_Control_NHLF_Day06	Pump07_Control_NHLF_Day07	Pump08_Control_NHLF_Day01	Pump08_Control_NHLF_Day02	Pump08_Control_NHLF_Day03	Pump08_Control_NHLF_Day04	Pump08_Control_NHLF_Day05	Pump08_Control_NHLF_Day06	Pump08_Control_NHLF_Day07	Pump09_Control_NHLF_Day01	Pump09_Control_NHLF_Day02	Pump09_Control_NHLF_Day03	Pump09_Control_NHLF_Day04	Pump09_Control_NHLF_Day05	Pump09_Control_NHLF_Day06	Pump09_Control_NHLF_Day07
AAK1	13.0144	30.2409	18.481	27.2298	49.9175	25.3184	23.7658	60.1853	46.3642	73.7919	28.9977	110.719	38.7132	52.6278	38.3735	48.9031	39.2633	58.8805	70.3696	41.262	41.509	41.8524	20.8818	62.3854	51.8831	71.5628	72.3133	39.1571	8.26796	30.3402	52.1808	43.8543	48.7843	26.278	24.4466	21.4476	61.9981	55.1402	61.5049	11.4093	15.3929	18.9973	0	6.85267	15.3745	1.8227	1.26565	0.720579	0.811929	6.5231	1.49242	0	25.7193	6.01664	0	0.380453	1.45721	0	0	29.4688	11.912	0.862289	0.784611
AAMDC	0	2.63798	327.814	2.54936	0	423.503	668.036	411.5	335.259	0	453.738	710.802	236.759	393.767	189.833	283.246	412.208	0	148.53	0	465.216	380.87	0	308.723	241.592	454.916	149.151	328.217	105.754	164.429	97.8221	305.228	0.543866	271.233	370.445	213.785	37.155	120.515	510.044	320.187	280.235	269.517	0	0	0	0	1606.17	0	1470.35	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AAMP	0	1.08955	0	0	0	0	1.45744	204.256	72.0417	0.910035	37.938	55.9526	208.99	0	0.421243	24.4928	271.211	0.242169	65.649	226.935	9.5283	123.713	129.251	69.8404	13.8705	10.59	23.95	32.0657	227.583	152.19	29.0553	0.15644	141.082	141.712	96.9062	172.436	176.082	111.305	93.8284	35.2427	39.664	31.5192	0	0	0	0	0	0	0	0	0	0	0	0	11.6926	0	0	0	0	0	0	0	0
AANAT	2.0953	3.18648	5.28524	3.41195	3.24137	2.18975	0	2.2648	5.91829	2.54172	0.604164	0.309179	1.41673	0.309326	2.3529	0.696732	1.25296	1.80367	1.00219	2.77378	0.436382	1.23182	3.17122	1.22702	0.489121	0.84808	1.2979	0.690049	0.824999	0.498517	3.50243	1.45674	1.74588	0.375776	1.00723	0.980003	0.228454	0.513439	0.555592	0.584505	0.34032	2.04373	25.627	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AAR2	0	0	0	0	0.487669	0	0	0	0	0.212424	1.36226	0	0	0.697343	19.758	0	1.41317	33.0686	104.676	0	64.6573	0.0875988	104.585	0	0	24.8557	0	68.0049	0	0	18.411388	0.109477	2.16126	0	9.17103	12.157	0.343868	33.2764	11.9079	0.11212	0	16.2771	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AARD	2.40866	0.616863	4.86497	12.4394	0.832153	1.29596	0	0.497262	0.753383	0.859383	2.14858	2.09689	0.860729	2.81514	0	2.33878	2.51825	5.80179	1.01122	14.6235	0.991899	4.03724	0.99873	1.74562	1.99985	0.51665	0.644659	0.933619	2.59751	3.70393	0.314928	0.772177	0.124205	0.105958	0.474114	0.662542	0.37683	1.16909	1.20191	0.543872	0.0962027	2.16795	13.5833	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AARS	0	0.278477	0	1.86979	43.7526	0	45.4147	15.419	0.720112	0	17.7173	3.38805	2.23524	2.034	94.4025	37.4584	99.6049	0.37105	37.9908	63.0023	11.2521	20.3043	20.9193	84.0262	18.4478	11.3816	5.63331	1.51515	0.169759	13.8058	56.2928	0.877937	11.9857	0.1547	3.92671	29.5939	2.07061	0.112584	137.203	32.9955	3.45252	24.6117	0	5.68268	6.22247	0	0	0	0	0	0	7.68393	0	0	0	0	0	6.8628	0	0	472.659	0	0
AARS2	2.59606	2.05387	4.14176	2.26997	4.39716	1.30381	0.257754	0.504182	56.2736	4.1421	22.868	0.335389	18.4677	1.19547	1.33604	2.06065	1.35054	0.810367	0.351855	3.60331	0.599252	0.430408	18.7163	9.52026	6.57037	1.26063	0.882464	1.94721	0.55767	0.685459	0.529889	0.418063	0.123006	1.1911	0.720678	14.0115	0.777663	1.34072	0.530623	0.739166	0.128886	1.88288	0	0	0	0	4.84688	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AARSD1	0	0.740689	0	0	0	294.315	0	1.32206	50.0355	0	58.2384	0	200.152	0.903844	0	150.537	13.7411	2.63576	1.82794	5.20183	0	0	203.94	61.0794	20.5976	0	37.5701	40.9983	113.266	0	84.4217	0	72.3972	51.2824	83.9427	23.3976	0	88.602	117.714	0	10.4478	59.0188	0	0	0	0	0	0	0	2638.37	0	0	0	0	0	0	0	0	0	0	0	0	0
AASDH	1.61797	0	2.035	0	0	0	0	0	0	0	0.154972	0	0	1.58635	0	0	3.69661	0	0	0.611116	0	0	0	0.819919	0	0	0	0.0506496	0	0	0	0	0	0	0	0	0	2.68681	0.784304	0	2.79457	0.85846	0	0	0	9.77157	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
