gene	residual_var_repeated	residual_var_independent	p_time_rep	p_time_condition_rep	p_time_ind	p_time_condition_ind	padj_time_rep	padj_time_condition_rep	padj_time_ind	padj_time_condition_ind	significant
PDPR	0.785799489856122	0.785796706918598	0.766022717948691	0.302280193410159	0.76627877696559	0.302276632956533	0.87529089843686	0.562655177930481	0.876941629864985	0.574739841235912	FALSE
PDRG1	1.25548944887403	1.25548721985924	0.00601669245473019	0.484432081440512	0.0060180563248331	0.548300912774437	0.0719984070253955	0.73327971804041	0.0756091210370693	0.779239211539147	FALSE
PDS5A	0.629436499946159	0.629435855920154	0.0116149101029238	0.0473535751445462	0.0116149364718036	0.0473534596111531	0.11042706154803	0.368217511400702	0.114839732324727	0.399898781077354	FALSE
PDS5B	0.792695232595004	0.838410404125204	0.184476898248135	0.573900259119286	0.196426180198677	0.59973225749459	0.545627276046045	0.811899626032548	0.568707260418995	0.81804611636837	FALSE
PDSS1	0.387983281087959	0.387983521574415	0.547164725912721	0.980354271374092	0.547168118950712	0.980347016469382	0.769617898216955	0.988754141284876	0.773432414169167	0.989597318568546	FALSE
PDSS2	0.444059370018176	0.508823172462735	0.961118005479107	0.331341216578643	0.963520955932095	0.383800352538115	0.989764361731818	0.569245450509804	0.991873190923027	0.636953091364744	FALSE
PDX1	0.066208306009417	0.0662084271695229	0.329521234191579	0.304231415684895	0.329521082438124	0.304252785971512	0.627598035140024	0.562655177930481	0.634147542794147	0.574739841235912	FALSE
PDXDC1	0.850196685259512	0.850187033800836	0.163147687379994	0.120836675991289	0.163100455644787	0.1208529613307	0.510934999880322	0.437215065288622	0.518742566940333	0.460183299631901	FALSE
PDXDC2P	0.340087270051644	0.340087330537688	0.3291495660287	0.130312966339449	0.329159527588536	0.130311486364592	0.627438380526793	0.447409999081649	0.6338490911965	0.470596829750657	FALSE
PDXK	0.589993477771527	0.593499137667511	0.0336551755761504	0.111560637152932	0.0339492042650971	0.112354885843136	0.213640480242633	0.429523535594971	0.221623348546948	0.452419137747648	FALSE
PDXP	0.589560568342374	0.589561379822725	0.0140583096263444	0.724098738135882	0.0140598913136034	0.783485258914483	0.124403154592105	0.87956513572059	0.129220547485334	0.904979599228216	FALSE
PDYN	0.0504935335780427	0.0504935901489512	0.44420499591644	0.0988718144994527	0.444205893392866	0.0988720475845246	0.705994401485129	0.413802303322878	0.712291153265003	0.438969625006646	FALSE
PDZD11	0.638837189184188	0.673120255439893	0.00807191049291611	0.249562071026248	0.00790509668471673	0.261399957332074	0.0870058422702434	0.539500422133843	0.0893961145170186	0.555228448784674	FALSE
PDZD2	0.280990437826904	0.287356883112931	0.0270423011736942	0.866692517074796	0.0285337413848897	0.872737609610757	0.187965975072499	0.936134457257183	0.199763004264765	0.941801275797234	FALSE
PDZD3	0.0229873323331341	0.0229873381681241	0.883815955719119	0.83678977906712	0.883818433515721	0.843784559598564	0.943760352775678	0.923074557275732	0.94517814782338	0.928874929502789	FALSE
PDZD4	0.00219366843378918	0.00219367023593261	0.214370225290051	0.189726024193961	0.214371907505528	0.189734138006132	0.585466890127711	0.500678204093657	0.59298013354729	0.518369526092008	FALSE
PDZD7	0.0403090902558022	0.0407393196273978	0.287608777466236	0.0150576807107656	0.287608755369534	0.0155601549450252	0.624968319802428	0.246769208628391	0.631193298576186	0.275563974893054	FALSE
PDZD8	1.46107271114537	1.46107229203265	0.480855032851192	0.00320440564676194	0.480876187904781	0.00320449231914299	0.729568450069785	0.120919688215377	0.734496496031604	0.131096209675685	FALSE
PDZD9	0.144096001003444	0.19590687824794	0.430948726079632	0.0228872370112611	0.565715358623177	0.0479283524008488	0.697266308241756	0.291138717653354	0.784223142403018	0.400203862655875	FALSE
PDZK1	0.0903096882471755	0.0903097251599121	0.39764999775064	0.310712983571695	0.397652075551694	0.310738956539334	0.676411234250165	0.562655177930481	0.682947809319637	0.574739841235912	FALSE
PDZK1IP1	0.00052255921381853	0.000522612047262357	0.999817568448074	0.260802921835364	0.999636113532158	0.260931571897892	1	0.539500422133843	0.999987268873672	0.555228448784674	FALSE
PDZK1P1	0.0624477567246658	0.0624477601305523	0.603770728338493	0.633651323950789	0.60377071564226	0.637028844698636	0.794367385238181	0.83231651588502	0.797323605515274	0.842425537903602	FALSE
PDZRN3	0.0225343955473313	0.0229276340027254	0.120541464721898	0.326826008689011	0.12341588381288	0.349926023006741	0.437730003256912	0.564830699709646	0.450587101444314	0.600884204514625	FALSE
PDZRN4	0.0300894486982755	0.0329515513584195	0.323816554662779	0.257493662116454	0.323478216377902	0.278516593601773	0.624968319802428	0.539500422133843	0.631193298576186	0.562953588690819	FALSE
PEA15	0.44605557462703	0.446057381292892	0.00049095962774276	0.15951173790841	0.000490986196279963	0.15951438908737	0.0126866813951499	0.473842314667347	0.0133145001972194	0.494220085778386	TRUE
PEAK1	0.987615163549999	0.987611188198975	0.137249608557348	0.100813526810515	0.137271308924811	0.100816971877811	0.467833778029795	0.415964762008554	0.475636749110162	0.441501440464346	FALSE
PEAR1	0.740874307067415	0.74087311483155	0.000645196771474066	0.508559193308027	0.00064547804735926	0.508674775684331	0.0156192470501783	0.757106352631404	0.016305369895276	0.763757261557695	TRUE
PEBP1	0.337516592035541	0.337516433960068	0.203992784163556	0.0683588624138292	0.204000190717827	0.0683587949051301	0.571211832216128	0.398598235272033	0.578884360822098	0.429066308999995	FALSE
PEBP4	0.0114332119720572	0.0114340399735724	0.323879910122063	0.323894977855055	0.323865636834767	0.32393989903341	0.624968319802428	0.562655177930481	0.631193298576186	0.574739841235912	FALSE
PECAM1	0.719928427375807	0.719929262236025	0.00259984094182419	0.678314159158889	0.00260006993484141	0.683410466396165	0.0411132274880048	0.85855701233629	0.0429915736675941	0.868840900705209	TRUE
PECR	0.0555694134848265	0.0673918175694241	0.296184680345472	0.147541747246668	0.433252770628187	0.185435955858101	0.624968319802428	0.46301015313724	0.704808546252166	0.515405002798121	FALSE
PEF1	1.50532237648656	1.50532535383408	0.06077061343976	0.169364766166414	0.0607757475238686	0.169360762225318	0.303088122414243	0.483121459926472	0.311897472916963	0.502655412480637	FALSE
PEG10	0.242898550075751	0.24289858178721	0.0184345774189998	0.497932189750678	0.0184346124875312	0.497699835830433	0.1475604156225	0.746950650768107	0.153850714182026	0.760355993390071	FALSE
PEG3	0.154003021128039	0.161659864221344	0.274232675589638	0.0827770775443099	0.274036825559015	0.0939646132492051	0.624968319802428	0.398598235272033	0.631193298576186	0.433196911243265	FALSE
PEG3-AS1	0.00226405986645664	0.00226405814953377	0.163052337114879	0.672504640273237	0.163061498084791	0.682055589347039	0.510911527690116	0.854803616900504	0.518742566940333	0.86787128479964	FALSE
PELI1	0.910327595500506	0.910327359797541	0.248902970219762	0.0619795595229132	0.248942572530692	0.0619738313110434	0.624968319802428	0.398598235272033	0.631193298576186	0.429066308999995	FALSE
PELI2	0.762305366010724	0.936315519530987	0.232704158167998	0.252135500787407	0.250735920235373	0.290256859699348	0.607169744739255	0.539500422133843	0.631193298576186	0.567583031662234	FALSE
PELI3	0.849867886291037	0.849867311145333	0.697179114693253	0.91809452755225	0.697199294039721	0.918823224369497	0.836192854867248	0.959720075801638	0.838803199239421	0.962425576184045	FALSE
PELO	1.56176948454994	1.56178051917059	0.493013182669873	0.0842610419000257	0.493042766572156	0.0842628701202742	0.736833616680959	0.398598235272033	0.741383304067598	0.429066308999995	FALSE
PELP1	0.517704947974045	0.517704977241168	0.265787753933278	0.0812984104951067	0.265792147987937	0.0812992444590941	0.624968319802428	0.398598235272033	0.631193298576186	0.429066308999995	FALSE
PEMT	1.1028696653917	1.10286960039059	0.376862676823951	0.556617876636525	0.376873357285397	0.525984028832052	0.662728370949628	0.798484484647341	0.670010997297743	0.763757261557695	FALSE
PENK	0.00191003430833337	0.00216849105507014	0.390666978494941	0.624458665509935	0.419906848764483	0.69876083167175	0.671770751334541	0.829668993902052	0.697110540550377	0.875804135684884	FALSE
PEPD	0.770729173186363	0.865559877530873	0.219155134283011	0.0957330753690507	0.218738385239194	0.114737710761471	0.591901445735837	0.411211520710113	0.598941194084694	0.45333577298242	FALSE
PER1	0.549192938194709	0.549192152792548	0.0165627266005947	0.297362868494589	0.0165629390892288	0.29741099989373	0.13805068108544	0.559221539592481	0.143998636632727	0.572145814936725	FALSE
PER2	0.162189355209851	0.168695169596064	0.0358371706515461	0.0394499677256996	0.0354627789465898	0.0442357118304437	0.221121565265762	0.344344856398435	0.227310251150759	0.391797537394915	FALSE
PER3	0.31198890052035	0.346437619165128	0.423463987749732	0.00541507400609831	0.447015133503359	0.0082524885922719	0.692914701336146	0.155967190028885	0.71402282914803	0.209646037150837	FALSE
PERP	1.03575186995184	1.03574971533881	0.296655864686033	0.3177943016927	0.296649120749517	0.318343262306113	0.624968319802428	0.562655177930481	0.631193298576186	0.574739841235912	FALSE
PES1	0.557793800722103	0.557794446154869	0.239018376186305	0.209428234005612	0.239030605745139	0.209432313381107	0.615630143317039	0.516990339736536	0.623926189869183	0.53514276051053	FALSE
PET100	0.623145618630982	0.623145904941769	0.231748789239503	0.913601366448804	0.231750182961375	0.925041144428229	0.606763520489782	0.957924867026297	0.615882411565351	0.965348189829804	FALSE
PET112	0.503258825143129	0.566501645758656	0.700729225505623	0.00713192859207668	0.694361102983277	0.0106804156747144	0.838805108477022	0.176412812961774	0.837020247527188	0.237052047485675	FALSE
PET117	1.04365459448866	1.04365620453127	0.922599710939916	0.0881236022757471	0.922792317802229	0.0881241949155456	0.96583873503004	0.40116863708338	0.96653617901485	0.429066308999995	FALSE
PEX1	0.327041793286713	0.327041927073876	0.76188970866216	0.993959780892198	0.761889708870977	0.99391503591999	0.872198619932347	0.995871976129946	0.873788175975741	0.996261169970073	FALSE
PEX10	1.50627527284696	1.50627566052218	0.684318618017816	0.759680321739111	0.68432048971558	0.758442730380514	0.828489299900392	0.894114697414144	0.831414001622229	0.898104978985761	FALSE
PEX11A	0.178712851035643	0.189877439868598	0.0135426042136307	0.281429962620167	0.0160604651469573	0.341570869384293	0.121838083453144	0.548970921955428	0.141469622183738	0.592324982702693	FALSE
PEX11B	1.04596179188615	1.10561996073756	0.460561021443917	0.0694366678563438	0.460358554341692	0.0800473860883826	0.717308562162868	0.398598235272033	0.722234317986131	0.429066308999995	FALSE
PEX11G	0.18148431747223	0.200758765430651	0.115123032156073	0.863746612661421	0.133067958552796	0.881906138107468	0.427263208328072	0.934974588769246	0.468102137753274	0.946028698937439	FALSE
PEX12	0.248206258986264	0.263533772546228	0.874106620259367	0.0895562119868812	0.874083683070771	0.0988296913231179	0.938544951426177	0.401667215887388	0.939982633845106	0.438969625006646	FALSE
PEX13	0.448071235495905	0.448071145852715	0.313483291733009	0.14152100901246	0.313488512258596	0.141525179778512	0.624968319802428	0.457151552666021	0.631193298576186	0.480113008806252	FALSE
PEX14	0.133495104320172	0.135644098808216	0.503362513279949	0.0515579868966471	0.503415748026694	0.0531518219310211	0.743355939089329	0.379348511970934	0.747822752760354	0.413690935626092	FALSE
PEX16	1.68342775314304	1.87192755505233	0.794882391289061	0.142735429253153	0.794800621534075	0.163470788666985	0.892870400407709	0.458105995916077	0.894398421876945	0.497122926121509	FALSE
PEX19	1.03349739161375	1.03349783395388	0.315220435259876	0.75230990165697	0.315224753818412	0.762726609959075	0.624968319802428	0.891867390062751	0.631193298576186	0.898660896358636	FALSE
PEX2	0.543980251918689	0.543980208135812	0.594749891067228	0.614614974530271	0.594750699818582	0.616342631355401	0.794367385238181	0.829668993902052	0.797323605515274	0.83155335034098	FALSE
PEX26	0.503596952737986	0.503597609496806	0.841390841492087	0.811751162649088	0.841406432832756	0.818701794888865	0.919334002888607	0.911191851216614	0.920761663097874	0.918701363087457	FALSE
PEX3	0.129942087070097	0.129942145170287	0.148865440672571	0.262610664861709	0.148865482365955	0.262610709372649	0.488066958110686	0.539855667311791	0.49625710388122	0.55555001466315	FALSE
PEX5	0.572309376940667	0.630536256843126	0.00880519422304393	0.229829844590804	0.0114242047864818	0.251745411049058	0.0920801249248524	0.528927541665573	0.113689435168169	0.555228448784674	FALSE
PEX5L	0.0383823180169351	0.0389829372608062	0.0724712095539177	0.297541477824388	0.0757361756788299	0.301049938211985	0.334973860361984	0.559412542736544	0.350671113357335	0.574739841235912	FALSE
PEX6	1.06322018476869	1.06322211834772	0.0674568537596382	0.196888532882728	0.0674565576397604	0.19689797727963	0.321020205302762	0.506264517432862	0.328770047211917	0.524389878795331	FALSE
PEX7	0.456291270693793	0.456290648678571	0.920637416466386	0.0276657887056833	0.920645025164778	0.027666339372316	0.964616888478609	0.312863221536363	0.96534589459639	0.341885366278068	FALSE
PF4	0.00845363825055372	0.00903884647488025	0.0848665450423551	0.133554424646722	0.0846406540629794	0.154341647593991	0.364912499543052	0.450007787412922	0.372397991842794	0.490689936002944	FALSE
PF4V1	0.000341077710843377	0.000341084279275331	0.623258968726863	0.629433554124329	0.62322116183556	0.528590275233741	0.794367385238181	0.829668993902052	0.797323605515274	0.763757261557695	FALSE
PFAS	0.182031464165782	0.189913476644515	0.0618229303432982	0.623411308122047	0.0621156334965146	0.656707697461452	0.305793803160642	0.829668993902052	0.314678843345559	0.855823967285006	FALSE
PFDN1	1.0087243658972	1.00906680001182	0.0988420138812951	0.241330623566816	0.0988443395071888	0.24142369926691	0.395099522821445	0.539102658281597	0.404458652488617	0.555228448784674	FALSE
PFDN2	1.31995274081339	1.31994813735422	0.0899250093559686	0.770744307003818	0.0899634809770056	0.770882419379556	0.375270418454429	0.896728939241636	0.384817800676532	0.901102212712825	FALSE
PFDN4	1.08595666529741	1.08595938678201	0.226617607218607	0.626962177807422	0.22662338013316	0.732871971182468	0.600798143091452	0.829668993902052	0.609925426381682	0.889170892850586	FALSE
PFDN5	0.171793170804935	0.180336450756377	0.127653786604144	0.030500618291224	0.127430006155517	0.0342813406169716	0.450334776287267	0.324247963093932	0.457950315697744	0.365827213885648	FALSE
PFDN6	0.520701815320383	0.520701761387106	0.0540042034164825	0.229904744177106	0.0540050040174335	0.229905167937319	0.282788530665458	0.529043009939058	0.290470353433134	0.547169185004102	FALSE
PFKFB1	0.00303578326888535	0.00303580996319184	0.428916215135396	0.786784363734709	0.428929219314816	0.779719191055712	0.695829751815334	0.900963452358373	0.702073335592433	0.903554001341532	FALSE
PFKFB2	0.824333674689072	0.832495862804465	0.519885877703458	0.0350772489798479	0.519885841349417	0.0359322671652811	0.753265946999607	0.336025692399129	0.757008129951826	0.369566516268875	FALSE
PFKFB3	0.700840416028706	0.700843773133779	0.00606489564720208	0.0515584909708112	0.00606479294471063	0.0515588489896502	0.0723972285528969	0.379348511970934	0.0759287945260554	0.410378844887478	FALSE
PFKFB4	0.848676568960744	0.861564509121205	0.406329943276436	0.08426342080599	0.411151010697224	0.0873302826130982	0.682449303234171	0.398598235272033	0.692447634472955	0.429066308999995	FALSE
PFKL	1.28929347626584	1.45378402015241	0.197235129700341	0.565657523075534	0.223632388528415	0.650379814747726	0.562116969245472	0.805866946990868	0.605599112131877	0.851280232264444	FALSE
PFKM	0.921132879455373	0.986273868095671	0.951459280127455	0.00740808317037611	0.951443075356631	0.00968082735881848	0.98406838872756	0.180117440356099	0.984432324596473	0.227117305010176	FALSE
PFKP	0.927515842159978	0.941503320880071	0.569668521939759	0.00133026377729695	0.569668166951996	0.00145720253070625	0.782727183112195	0.0694203019001109	0.786007615922159	0.0789324185999769	FALSE
PFN1	0.102612142701329	0.102612175772851	0.0324639681068047	1.67328811362388e-07	0.0324652679195659	1.67329646805214e-07	0.209216584823251	0.000137698740304218	0.215923802426805	0.000132599449001643	FALSE
PFN1P2	0.492969876822047	0.505332162797478	0.497872488850247	0.246801543433726	0.50805807602394	0.252396970525407	0.739909687534895	0.539500422133843	0.749933037149715	0.555228448784674	FALSE
PFN2	1.21071220463909	1.2107128147862	0.0168435201245156	0.254488137617387	0.016844207202617	0.254485150343762	0.139029124033601	0.539500422133843	0.145428689093718	0.555228448784674	FALSE
PFN4	0.0134465494830776	0.0150369522046522	0.836053244673988	0.0990411589017202	0.84499743554865	0.125010717630548	0.916074933325377	0.413802897063309	0.922568001785933	0.46377990280898	FALSE
PGA3	0.0287031384541794	0.0287037417560607	0.346166773439328	0.362920449181866	0.346175801929978	0.377356264981541	0.640996343321948	0.602527161295762	0.647007379535179	0.630331379931693	FALSE
PGA4	0.0892128250680816	0.0916375100702862	0.482104550037871	0.555492197156266	0.487811697348756	0.566379685652422	0.730221503087236	0.797432315443164	0.738282761598669	0.794745416572231	FALSE
PGA5	0.000488874188414959	0.000577684478640152	0.710485562819615	0.0681774588682446	0.733057795936811	0.102527986095474	0.843639996786086	0.398598235272033	0.85894418052369	0.442045859236591	FALSE
PGAM1	0.400134844317831	0.40013491007601	0.0341359542653457	0.0393607134821273	0.0341364466506417	0.039361091576875	0.215385690787773	0.344344856398435	0.22235826778937	0.379280108854369	FALSE
PGAM1P5	0.0194515532817575	0.0271264832589439	0.417417991350946	0.00349666926180459	0.238639325455143	0.0212069136046145	0.689453092310527	0.126804636484018	0.623848550076447	0.313046276033964	FALSE
PGAM2	0.195742085176107	0.195742084174818	0.494871112030056	0.00749179948669032	0.494871108119386	0.00749179924770282	0.738115183896486	0.181343762930557	0.742709846231333	0.200618944560513	FALSE
PGAM4	0.116864338064243	0.130122038828971	0.241966973516034	0.0600088731190166	0.241559686140408	0.0707681034056025	0.61802160130515	0.398598235272033	0.625935617918988	0.429066308999995	FALSE
PGAM5	0.292852478144844	0.292852087362712	0.514939242707027	0.085429653501678	0.514953883410397	0.0854306604051914	0.750009532808682	0.398598235272033	0.753879800851787	0.429066308999995	FALSE
